region	population	year	month	num_cards_extrapolated	rate_less_than_15	rate_less_than_16	rate_less_than_17	rate_less_than_18	rate_less_than_19	rate_less_than_20	rate_less_than_21	rate_less_than_22	rate_less_than_23	rate_less_than_24	rate_less_than_25	rate_less_than_26	rate_less_than_27	rate_less_than_28	rate_less_than_29	rate_less_than_30	rate_less_than_31	rate_less_than_32	rate_less_than_33	rate_less_than_34	rate_less_than_35	rate_less_than_36	rate_less_than_37	rate_less_than_38	rate_less_than_39	rate_less_than_40	rate_less_than_41	rate_less_than_42	rate_less_than_43	rate_less_than_44	rate_less_than_45	rate_less_than_46	rate_less_than_47	rate_less_than_48	rate_less_than_49	rate_less_than_50
ГрузССР	3540023	1939	1	66	0.0	0.0	0.0	0.0455	0.0758	0.1818	0.5152	0.7424	0.8182	0.9242	0.9394	0.9545	0.9545	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ГрузССР	3540023	1939	2	53	0.0	0.0	0.0	0.0	0.0	0.1429	0.3061	0.5918	0.6939	0.7551	0.9184	0.9796	0.9796	0.9796	0.9796	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ГрузССР	3540023	1939	3	18	0.0	0.0	0.0	0.0	0.0	0.1111	0.2222	0.5556	0.6667	0.6667	0.8333	0.9444	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ГрузССР	3540023	1939	4	10	0.0	0.0	0.0	0.0	0.2	0.4	0.8	0.9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ГрузССР	3540023	1939	5	97	0.0	0.0	0.0	0.0515	0.0515	0.2268	0.567	0.732	0.8351	0.9175	0.9485	0.9485	0.9588	0.9691	0.9691	0.9897	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ГрузССР	3540023	1939	6	19	0.0	0.0	0.0	0.1111	0.1111	0.1667	0.4444	0.5556	0.6111	0.8333	0.8889	0.9444	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ГрузССР	3540023	1939	7	22	0.0	0.0455	0.0455	0.1364	0.1818	0.2727	0.5909	0.7727	0.7727	0.8182	0.8182	0.8182	0.8182	0.8182	0.8636	0.9545	0.9545	0.9545	0.9545	0.9545	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ГрузССР	3540023	1939	8	55	0.0	0.0	0.0	0.0182	0.0364	0.1455	0.4182	0.5818	0.7273	0.8182	0.8545	0.9091	0.9455	0.9636	0.9636	0.9818	0.9818	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ГрузССР	3540023	1939	9	437	0.0	0.0	0.0	0.0023	0.0575	0.1563	0.5103	0.692	0.8092	0.8828	0.9287	0.9517	0.9586	0.9724	0.9885	0.9931	0.9977	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ГрузССР	3540023	1939	10	274	0.0	0.0	0.0	0.011	0.0515	0.1544	0.5037	0.7647	0.8272	0.886	0.9338	0.9596	0.9779	0.9853	0.9926	0.9963	0.9963	0.9963	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ГрузССР	3540023	1939	11	212	0.0	0.0	0.0	0.0048	0.0813	0.1866	0.512	0.6603	0.7703	0.8373	0.8756	0.9282	0.933	0.9617	0.9713	0.9809	0.9809	0.9856	0.9952	0.9952	0.9952	0.9952	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ГрузССР	3540023	1939	12	105	0.0	0.0	0.0	0.0385	0.0769	0.125	0.3942	0.6731	0.7981	0.8558	0.9038	0.9615	0.9712	0.9808	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
